,Hard-U,Fe %,Cr %,Depth,Strikes/mm2,Static Force,Amplitude,Predict,Gradient
125,200.0,11.6,29.9,125.0,8571.4,50.0,50.0,336.22092,-0.402374267578125
126,200.0,11.6,29.9,126.0,8571.4,50.0,50.0,335.81927,-0.401641845703125
127,200.0,11.6,29.9,127.0,8571.4,50.0,50.0,335.41833,-0.40093994140625
128,200.0,11.6,29.9,128.0,8571.4,50.0,50.0,335.0182,-0.400146484375
129,200.0,11.6,29.9,129.0,8571.4,50.0,50.0,334.61874,-0.399444580078125
130,200.0,11.6,29.9,130.0,8571.4,50.0,50.0,334.2201,-0.398651123046875
131,200.0,11.6,29.9,131.0,8571.4,50.0,50.0,333.82214,-0.39794921875
132,200.0,11.6,29.9,132.0,8571.4,50.0,50.0,333.425,-0.39715576171875
133,200.0,11.6,29.9,133.0,8571.4,50.0,50.0,333.02856,-0.39642333984375
134,200.0,11.6,29.9,134.0,8571.4,50.0,50.0,332.63287,-0.39569091796875
135,200.0,11.6,29.9,135.0,8571.4,50.0,50.0,332.23795,-0.394927978515625
136,200.0,11.6,29.9,136.0,8571.4,50.0,50.0,331.84378,-0.3941650390625
137,200.0,11.6,29.9,137.0,8571.4,50.0,50.0,331.45038,-0.393402099609375
138,200.0,11.6,29.9,138.0,8571.4,50.0,50.0,331.0577,-0.392669677734375
139,200.0,11.6,29.9,139.0,8571.4,50.0,50.0,330.66583,-0.391876220703125
140,200.0,11.6,29.9,140.0,8571.4,50.0,50.0,330.2747,-0.391143798828125
141,200.0,11.6,29.9,141.0,8571.4,50.0,50.0,329.88428,-0.390411376953125
142,200.0,11.6,29.9,142.0,8571.4,50.0,50.0,329.49463,-0.3896484375
143,200.0,11.6,29.9,143.0,8571.4,50.0,50.0,329.10577,-0.38885498046875
144,200.0,11.6,29.9,144.0,8571.4,50.0,50.0,328.7177,-0.3880615234375
145,200.0,11.6,29.9,145.0,8571.4,50.0,50.0,328.33035,-0.387359619140625
146,200.0,11.6,29.9,146.0,8571.4,50.0,50.0,327.94382,-0.38653564453125
147,200.0,11.6,29.9,147.0,8571.4,50.0,50.0,327.55798,-0.385833740234375
148,200.0,11.6,29.9,148.0,8571.4,50.0,50.0,327.17294,-0.385040283203125
149,200.0,11.6,29.9,149.0,8571.4,50.0,50.0,326.78867,-0.38427734375
150,200.0,11.6,29.9,150.0,8571.4,50.0,50.0,326.40515,-0.383514404296875
151,200.0,11.6,29.9,151.0,8571.4,50.0,50.0,326.02243,-0.382720947265625
152,200.0,11.6,29.9,152.0,8571.4,50.0,50.0,325.64044,-0.381988525390625
153,200.0,11.6,29.9,153.0,8571.4,50.0,50.0,325.25925,-0.381195068359375
154,200.0,11.6,29.9,154.0,8571.4,50.0,50.0,324.8788,-0.38043212890625
155,200.0,11.6,29.9,155.0,8571.4,50.0,50.0,324.49915,-0.379669189453125
156,200.0,11.6,29.9,156.0,8571.4,50.0,50.0,324.1203,-0.37884521484375
157,200.0,11.6,29.9,157.0,8571.4,50.0,50.0,323.7422,-0.37811279296875
158,200.0,11.6,29.9,158.0,8571.4,50.0,50.0,323.36484,-0.377349853515625
159,200.0,11.6,29.9,159.0,8571.4,50.0,50.0,322.98828,-0.376556396484375
160,200.0,11.6,29.9,160.0,8571.4,50.0,50.0,322.6125,-0.37579345703125
161,200.0,11.6,29.9,161.0,8571.4,50.0,50.0,322.23746,-0.375030517578125
162,200.0,11.6,29.9,162.0,8571.4,50.0,50.0,321.86322,-0.374237060546875
163,200.0,11.6,29.9,163.0,8571.4,50.0,50.0,321.48978,-0.373443603515625
164,200.0,11.6,29.9,164.0,8571.4,50.0,50.0,321.1171,-0.3726806640625
165,200.0,11.6,29.9,165.0,8571.4,50.0,50.0,320.74518,-0.371917724609375
166,200.0,11.6,29.9,166.0,8571.4,50.0,50.0,320.37405,-0.371124267578125
167,200.0,11.6,29.9,167.0,8571.4,50.0,50.0,320.0037,-0.370361328125
168,200.0,11.6,29.9,168.0,8571.4,50.0,50.0,319.63416,-0.369537353515625
169,200.0,11.6,29.9,169.0,8571.4,50.0,50.0,319.26538,-0.3687744140625
170,200.0,11.6,29.9,170.0,8571.4,50.0,50.0,318.90076,-0.3646240234375
171,200.0,11.6,29.9,171.0,8571.4,50.0,50.0,318.5387,-0.362060546875
172,200.0,11.6,29.9,172.0,8571.4,50.0,50.0,318.1773,-0.36138916015625
173,200.0,11.6,29.9,173.0,8571.4,50.0,50.0,317.81677,-0.36053466796875
174,200.0,11.6,29.9,174.0,8571.4,50.0,50.0,317.4569,-0.35986328125
175,200.0,11.6,29.9,175.0,8571.4,50.0,50.0,317.0994,-0.357513427734375
176,200.0,11.6,29.9,176.0,8571.4,50.0,50.0,316.7571,-0.34228515625
177,200.0,11.6,29.9,177.0,8571.4,50.0,50.0,316.41553,-0.341583251953125
178,200.0,11.6,29.9,178.0,8571.4,50.0,50.0,316.07462,-0.340911865234375
179,200.0,11.6,29.9,179.0,8571.4,50.0,50.0,315.73444,-0.340179443359375
180,200.0,11.6,29.9,180.0,8571.4,50.0,50.0,315.39493,-0.339508056640625
181,200.0,11.6,29.9,181.0,8571.4,50.0,50.0,315.05615,-0.338775634765625
182,200.0,11.6,29.9,182.0,8571.4,50.0,50.0,314.71802,-0.338134765625
183,200.0,11.6,29.9,183.0,8571.4,50.0,50.0,314.3806,-0.33740234375
184,200.0,11.6,29.9,184.0,8571.4,50.0,50.0,314.0439,-0.336700439453125
185,200.0,11.6,29.9,185.0,8571.4,50.0,50.0,313.7079,-0.336029052734375
186,200.0,11.6,29.9,186.0,8571.4,50.0,50.0,313.37262,-0.33526611328125
187,200.0,11.6,29.9,187.0,8571.4,50.0,50.0,313.038,-0.334625244140625
188,200.0,11.6,29.9,188.0,8571.4,50.0,50.0,312.7041,-0.333892822265625
189,200.0,11.6,29.9,189.0,8571.4,50.0,50.0,312.37085,-0.333251953125
190,200.0,11.6,29.9,190.0,8571.4,50.0,50.0,312.03836,-0.332489013671875
191,200.0,11.6,29.9,191.0,8571.4,50.0,50.0,311.70654,-0.331817626953125
192,200.0,11.6,29.9,192.0,8571.4,50.0,50.0,311.37543,-0.33111572265625
193,200.0,11.6,29.9,193.0,8571.4,50.0,50.0,311.045,-0.330413818359375
194,200.0,11.6,29.9,194.0,8571.4,50.0,50.0,310.71533,-0.329681396484375
195,200.0,11.6,29.9,195.0,8571.4,50.0,50.0,310.38632,-0.329010009765625
196,200.0,11.6,29.9,196.0,8571.4,50.0,50.0,310.05798,-0.328338623046875
197,200.0,11.6,29.9,197.0,8571.4,50.0,50.0,309.73044,-0.327545166015625
198,200.0,11.6,29.9,198.0,8571.4,50.0,50.0,309.4035,-0.326934814453125
199,200.0,11.6,29.9,199.0,8571.4,50.0,50.0,309.0773,-0.326202392578125
200,200.0,11.6,29.9,200.0,8571.4,50.0,50.0,308.75183,-0.325469970703125
201,200.0,11.6,29.9,201.0,8571.4,50.0,50.0,308.427,-0.3248291015625
202,200.0,11.6,29.9,202.0,8571.4,50.0,50.0,308.10294,-0.324066162109375
203,200.0,11.6,29.9,203.0,8571.4,50.0,50.0,307.77954,-0.323394775390625
204,200.0,11.6,29.9,204.0,8571.4,50.0,50.0,307.45685,-0.32269287109375
205,200.0,11.6,29.9,205.0,8571.4,50.0,50.0,307.13486,-0.321990966796875
206,200.0,11.6,29.9,206.0,8571.4,50.0,50.0,306.81354,-0.321319580078125
207,200.0,11.6,29.9,207.0,8571.4,50.0,50.0,306.49298,-0.320556640625
208,200.0,11.6,29.9,208.0,8571.4,50.0,50.0,306.1731,-0.31988525390625
209,200.0,11.6,29.9,209.0,8571.4,50.0,50.0,305.85394,-0.31915283203125
210,200.0,11.6,29.9,210.0,8571.4,50.0,50.0,305.53546,-0.3184814453125
211,200.0,11.6,29.9,211.0,8571.4,50.0,50.0,305.2177,-0.3177490234375
212,200.0,11.6,29.9,212.0,8571.4,50.0,50.0,304.90057,-0.317138671875
213,200.0,11.6,29.9,213.0,8571.4,50.0,50.0,304.58423,-0.31634521484375
214,200.0,11.6,29.9,214.0,8571.4,50.0,50.0,304.26855,-0.315673828125
215,200.0,11.6,29.9,215.0,8571.4,50.0,50.0,303.9536,-0.31494140625
216,200.0,11.6,29.9,216.0,8571.4,50.0,50.0,303.63934,-0.31427001953125
217,200.0,11.6,29.9,217.0,8571.4,50.0,50.0,303.32578,-0.313568115234375
218,200.0,11.6,29.9,218.0,8571.4,50.0,50.0,303.01294,-0.312835693359375
219,200.0,11.6,29.9,219.0,8571.4,50.0,50.0,302.70078,-0.312164306640625
220,200.0,11.6,29.9,220.0,8571.4,50.0,50.0,302.38934,-0.311431884765625
221,200.0,11.6,29.9,221.0,8571.4,50.0,50.0,302.07858,-0.310760498046875
222,200.0,11.6,29.9,222.0,8571.4,50.0,50.0,301.76855,-0.310028076171875
223,200.0,11.6,29.9,223.0,8571.4,50.0,50.0,301.45917,-0.30938720703125
224,200.0,11.6,29.9,224.0,8571.4,50.0,50.0,301.15054,-0.308624267578125
225,200.0,11.6,29.9,225.0,8571.4,50.0,50.0,300.8426,-0.307952880859375
226,200.0,11.6,29.9,226.0,8571.4,50.0,50.0,300.53534,-0.3072509765625
227,200.0,11.6,29.9,227.0,8571.4,50.0,50.0,300.2288,-0.306549072265625
228,200.0,11.6,29.9,228.0,8571.4,50.0,50.0,299.92297,-0.305816650390625
229,200.0,11.6,29.9,229.0,8571.4,50.0,50.0,299.61783,-0.305145263671875
230,200.0,11.6,29.9,230.0,8571.4,50.0,50.0,299.3134,-0.304443359375
231,200.0,11.6,29.9,231.0,8571.4,50.0,50.0,299.00964,-0.303741455078125
232,200.0,11.6,29.9,232.0,8571.4,50.0,50.0,298.7066,-0.30303955078125
233,200.0,11.6,29.9,233.0,8571.4,50.0,50.0,298.40424,-0.3023681640625
234,200.0,11.6,29.9,234.0,8571.4,50.0,50.0,298.1026,-0.3016357421875
235,200.0,11.6,29.9,235.0,8571.4,50.0,50.0,297.80167,-0.300933837890625
236,200.0,11.6,29.9,236.0,8571.4,50.0,50.0,297.5014,-0.300262451171875
237,200.0,11.6,29.9,237.0,8571.4,50.0,50.0,297.20187,-0.299530029296875
238,200.0,11.6,29.9,238.0,8571.4,50.0,50.0,296.90305,-0.298828125
239,200.0,11.6,29.9,239.0,8571.4,50.0,50.0,296.6049,-0.29815673828125
240,200.0,11.6,29.9,240.0,8571.4,50.0,50.0,296.30746,-0.29742431640625
241,200.0,11.6,29.9,241.0,8571.4,50.0,50.0,296.01068,-0.296783447265625
242,200.0,11.6,29.9,242.0,8571.4,50.0,50.0,295.71466,-0.2960205078125
243,200.0,11.6,29.9,243.0,8571.4,50.0,50.0,295.41928,-0.295379638671875
244,200.0,11.6,29.9,244.0,8571.4,50.0,50.0,295.12463,-0.294647216796875
245,200.0,11.6,29.9,245.0,8571.4,50.0,50.0,294.83066,-0.293975830078125
246,200.0,11.6,29.9,246.0,8571.4,50.0,50.0,294.5374,-0.293243408203125
247,200.0,11.6,29.9,247.0,8571.4,50.0,50.0,294.2448,-0.2926025390625
248,200.0,11.6,29.9,248.0,8571.4,50.0,50.0,293.95294,-0.2918701171875
249,200.0,11.6,29.9,249.0,8571.4,50.0,50.0,293.6618,-0.2911376953125
250,200.0,11.6,29.9,250.0,8571.4,50.0,50.0,293.37128,-0.29052734375
251,200.0,11.6,29.9,251.0,8571.4,50.0,50.0,293.0815,-0.289764404296875
252,200.0,11.6,29.9,252.0,8571.4,50.0,50.0,292.79242,-0.289093017578125
253,200.0,11.6,29.9,253.0,8571.4,50.0,50.0,292.50403,-0.28839111328125
254,200.0,11.6,29.9,254.0,8571.4,50.0,50.0,292.2163,-0.2877197265625
255,200.0,11.6,29.9,255.0,8571.4,50.0,50.0,291.92932,-0.2869873046875
256,200.0,11.6,29.9,256.0,8571.4,50.0,50.0,291.64294,-0.286376953125
257,200.0,11.6,29.9,257.0,8571.4,50.0,50.0,291.35736,-0.28558349609375
258,200.0,11.6,29.9,258.0,8571.4,50.0,50.0,291.0724,-0.28497314453125
259,200.0,11.6,29.9,259.0,8571.4,50.0,50.0,290.78815,-0.28424072265625
260,200.0,11.6,29.9,260.0,8571.4,50.0,50.0,290.5046,-0.283538818359375
261,200.0,11.6,29.9,261.0,8571.4,50.0,50.0,290.2217,-0.28289794921875
262,200.0,11.6,29.9,262.0,8571.4,50.0,50.0,289.93954,-0.28216552734375
263,200.0,11.6,29.9,263.0,8571.4,50.0,50.0,289.65808,-0.281463623046875
264,200.0,11.6,29.9,264.0,8571.4,50.0,50.0,289.37726,-0.28082275390625
265,200.0,11.6,29.9,265.0,8571.4,50.0,50.0,289.09717,-0.28009033203125
266,200.0,11.6,29.9,266.0,8571.4,50.0,50.0,288.81775,-0.2794189453125
267,200.0,11.6,29.9,267.0,8571.4,50.0,50.0,288.539,-0.27874755859375
268,200.0,11.6,29.9,268.0,8571.4,50.0,50.0,288.26096,-0.278045654296875
269,200.0,11.6,29.9,269.0,8571.4,50.0,50.0,287.9836,-0.27734375
270,200.0,11.6,29.9,270.0,8571.4,50.0,50.0,287.7069,-0.276702880859375
271,200.0,11.6,29.9,271.0,8571.4,50.0,50.0,287.43094,-0.275970458984375
272,200.0,11.6,29.9,272.0,8571.4,50.0,50.0,287.15564,-0.275299072265625
273,200.0,11.6,29.9,273.0,8571.4,50.0,50.0,286.881,-0.274627685546875
274,200.0,11.6,29.9,274.0,8571.4,50.0,50.0,286.6071,-0.27392578125
275,200.0,11.6,29.9,275.0,8571.4,50.0,50.0,286.3338,-0.273284912109375
276,200.0,11.6,29.9,276.0,8571.4,50.0,50.0,286.06125,-0.272552490234375
277,200.0,11.6,29.9,277.0,8571.4,50.0,50.0,285.78937,-0.271881103515625
278,200.0,11.6,29.9,278.0,8571.4,50.0,50.0,285.51816,-0.271209716796875
279,200.0,11.6,29.9,279.0,8571.4,50.0,50.0,285.24762,-0.270538330078125
280,200.0,11.6,29.9,280.0,8571.4,50.0,50.0,284.97778,-0.26983642578125
281,200.0,11.6,29.9,281.0,8571.4,50.0,50.0,284.70862,-0.2691650390625
